coordinate
"(-8.453443823431696, 115.45480179598653)"
"(-8.453443718096187, 115.46388296003515)"
"(-8.45344361276068, 115.47296412408132)"
"(-8.453443507425172, 115.48204528812501)"
"(-8.453443402089665, 115.49112645216624)"
"(-8.461278905385228, 115.04160892083001)"
"(-8.461278799950714, 115.05069026831912)"
"(-8.461278694516198, 115.05977161580574)"
"(-8.461278589081685, 115.06885296328991)"
"(-8.461278483647174, 115.07793431077161)"
"(-8.461278378212661, 115.08701565825083)"
"(-8.461278272778152, 115.09609700572759)"
"(-8.461278167343643, 115.10517835320186)"
"(-8.461278061909136, 115.11425970067368)"
"(-8.461277956474628, 115.12334104814303)"
"(-8.461277851040123, 115.13242239560991)"
"(-8.46127774560562, 115.14150374307431)"
"(-8.46127764017112, 115.15058509053624)"
"(-8.46127753473662, 115.15966643799571)"
"(-8.461277429302124, 115.16874778545271)"
"(-8.461277323867625, 115.17782913290723)"
"(-8.46127721843313, 115.18691048035929)"
"(-8.461277112998635, 115.19599182780888)"
"(-8.461277007564144, 115.205073175256)"
"(-8.46127690212965, 115.21415452270065)"
"(-8.46127679669516, 115.22323587014283)"
"(-8.461276691260672, 115.23231721758253)"
"(-8.461276585826184, 115.24139856501978)"
"(-8.461276480391698, 115.25047991245455)"
"(-8.46127637495721, 115.25956125988685)"
"(-8.461276269522726, 115.26864260731668)"
"(-8.461276164088241, 115.27772395474403)"
"(-8.461276058653759, 115.28680530216893)"
"(-8.461275953219278, 115.29588664959135)"
"(-8.4612758477848, 115.3049679970113)"
"(-8.461275742350319, 115.31404934442878)"
"(-8.461275636915843, 115.32313069184379)"
"(-8.461275531481366, 115.33221203925633)"
"(-8.461275426046893, 115.34129338666641)"
"(-8.46127532061242, 115.35037473407401)"
"(-8.46127521517795, 115.35945608147914)"
"(-8.46127510974348, 115.36853742888181)"
"(-8.461275004309014, 115.377618776282)"
"(-8.461274898874546, 115.38670012367973)"
"(-8.461274793440081, 115.39578147107498)"
"(-8.461274688005615, 115.40486281846776)"
"(-8.461274582571152, 115.41394416585808)"
"(-8.46127447713669, 115.42302551324593)"
"(-8.46127437170223, 115.43210686063131)"
"(-8.461274266267774, 115.44118820801421)"
"(-8.461274160833318, 115.45026955539464)"
"(-8.461274055398862, 115.45935090277261)"
"(-8.461273949964408, 115.46843225014811)"
"(-8.461273844529956, 115.47751359752114)"
"(-8.461273739095503, 115.48659494489169)"
"(-8.469109244086399, 115.04614986983493)"
"(-8.469109138552932, 115.0552314008295)"
"(-8.469109033019468, 115.06431293182159)"
"(-8.469108927486001, 115.07339446281121)"
"(-8.469108821952537, 115.08247599379835)"
"(-8.469108716419074, 115.09155752478303)"
"(-8.469108610885613, 115.10063905576523)"
"(-8.469108505352152, 115.10972058674496)"
"(-8.469108399818692, 115.1188021177222)"
"(-8.469108294285235, 115.12788364869697)"
"(-8.469108188751775, 115.13696517966926)"
"(-8.469108083218323, 115.14604671063908)"
"(-8.469107977684871, 115.15512824160643)"
"(-8.46910787215142, 115.16420977257131)"
"(-8.46910776661797, 115.17329130353372)"
"(-8.469107661084522, 115.18237283449365)"
"(-8.469107555551075, 115.19145436545111)"
"(-8.46910745001763, 115.20053589640608)"
"(-8.469107344484183, 115.20961742735858)"
"(-8.469107238950738, 115.21869895830861)"
"(-8.469107133417296, 115.22778048925616)"
"(-8.469107027883854, 115.23686202020124)"
"(-8.469106922350417, 115.24594355114385)"
"(-8.469106816816979, 115.25502508208399)"
"(-8.469106711283542, 115.26410661302165)"
"(-8.469106605750106, 115.27318814395683)"
"(-8.469106500216672, 115.28226967488953)"
"(-8.469106394683239, 115.29135120581977)"
"(-8.469106289149805, 115.30043273674752)"
"(-8.469106183616374, 115.30951426767281)"
"(-8.469106078082943, 115.31859579859562)"
"(-8.469105972549519, 115.32767732951596)"
"(-8.469105867016095, 115.33675886043383)"
"(-8.46910576148267, 115.34584039134923)"
"(-8.469105655949246, 115.35492192226214)"
"(-8.469105550415822, 115.36400345317257)"
"(-8.4691054448824, 115.37308498408053)"
"(-8.469105339348978, 115.38216651498603)"
"(-8.469105233815558, 115.39124804588904)"
"(-8.469105128282138, 115.40032957678959)"
"(-8.469105022748721, 115.40941110768766)"
"(-8.469104917215306, 115.41849263858326)"
"(-8.469104811681895, 115.42757416947637)"
"(-8.469104706148482, 115.43665570036701)"
"(-8.469104600615072, 115.44573723125518)"
"(-8.469104495081664, 115.45481876214087)"
"(-8.469104389548257, 115.4639002930241)"
"(-8.46910428401485, 115.47298182390485)"
"(-8.469104178481446, 115.48206335478312)"
"(-8.469104072948042, 115.49114488565893)"
"(-8.476939579631662, 115.0416091961762)"
"(-8.476939473999238, 115.05069091085217)"
"(-8.476939368366816, 115.05977262552565)"
"(-8.476939262734394, 115.06885434019667)"
"(-8.476939157101977, 115.07793605486519)"
"(-8.47693905146956, 115.08701776953124)"
"(-8.476938945837144, 115.09609948419481)"
"(-8.476938840204728, 115.1051811988559)"
"(-8.476938734572315, 115.11426291351451)"
