coordinate
"(-8.531748118465504, 115.36405689955387)"
"(-8.531748012140334, 115.3731399048392)"
"(-8.531747905815166, 115.38222291012204)"
"(-8.531747799489999, 115.39130591540236)"
"(-8.531747693164833, 115.40038892068016)"
"(-8.531747586839666, 115.40947192595544)"
"(-8.5317474805145, 115.41855493122823)"
"(-8.531747374189337, 115.4276379364985)"
"(-8.531747267864175, 115.43672094176625)"
"(-8.531747161539014, 115.4458039470315)"
"(-8.531747055213856, 115.45488695229423)"
"(-8.531746948888701, 115.46396995755445)"
"(-8.531746842563544, 115.47305296281216)"
"(-8.531746736238391, 115.48213596806735)"
"(-8.53174662991324, 115.49121897332003)"
"(-8.53958215004425, 115.04161030284027)"
"(-8.53958204362005, 115.050693493303)"
"(-8.539581937195846, 115.05977668376322)"
"(-8.539581830771645, 115.06885987422092)"
"(-8.539581724347446, 115.0779430646761)"
"(-8.539581617923249, 115.08702625512878)"
"(-8.539581511499053, 115.09610944557892)"
"(-8.539581405074857, 115.10519263602654)"
"(-8.539581298650663, 115.11427582647165)"
"(-8.539581192226473, 115.12335901691425)"
"(-8.539581085802281, 115.13244220735433)"
"(-8.53958097937809, 115.1415253977919)"
"(-8.539580872953902, 115.15060858822694)"
"(-8.539580766529712, 115.15969177865948)"
"(-8.539580660105527, 115.1687749690895)"
"(-8.539580553681343, 115.177858159517)"
"(-8.539580447257162, 115.18694134994197)"
"(-8.539580340832982, 115.19602454036443)"
"(-8.539580234408804, 115.20510773078438)"
"(-8.539580127984623, 115.2141909212018)"
"(-8.539580021560443, 115.22327411161672)"
"(-8.539579915136267, 115.23235730202911)"
"(-8.539579808712093, 115.241440492439)"
"(-8.539579702287918, 115.25052368284636)"
"(-8.539579595863744, 115.25960687325122)"
"(-8.539579489439571, 115.26869006365354)"
"(-8.5395793830154, 115.27777325405334)"
"(-8.539579276591233, 115.28685644445063)"
"(-8.539579170167068, 115.29593963484541)"
"(-8.5395790637429, 115.30502282523767)"
"(-8.539578957318737, 115.31410601562742)"
"(-8.539578850894575, 115.32318920601465)"
"(-8.539578744470413, 115.33227239639936)"
"(-8.539578638046251, 115.34135558678156)"
"(-8.539578531622093, 115.35043877716124)"
"(-8.539578425197934, 115.3595219675384)"
"(-8.539578318773776, 115.36860515791304)"
"(-8.53957821234962, 115.37768834828516)"
"(-8.539578105925468, 115.38677153865477)"
"(-8.539577999501315, 115.39585472902186)"
"(-8.539577893077164, 115.40493791938644)"
"(-8.539577786653012, 115.4140211097485)"
"(-8.539577680228865, 115.42310430010805)"
"(-8.539577573804719, 115.43218749046508)"
"(-8.539577467380575, 115.4412706808196)"
"(-8.53957736095643, 115.45035387117159)"
"(-8.539577254532285, 115.45943706152106)"
"(-8.539577148108144, 115.46852025186801)"
"(-8.539577041684003, 115.47760344221246)"
"(-8.539576935259864, 115.48668663255438)"
"(-8.547412457060009, 115.04615217597218)"
"(-8.547412350536815, 115.05523555170048)"
"(-8.547412244013625, 115.06431892742624)"
"(-8.547412137490431, 115.07340230314949)"
"(-8.547412030967239, 115.08248567887021)"
"(-8.547411924444052, 115.09156905458842)"
"(-8.547411817920867, 115.1006524303041)"
"(-8.547411711397682, 115.10973580601726)"
"(-8.5474116048745, 115.1188191817279)"
"(-8.547411498351318, 115.12790255743602)"
"(-8.547411391828136, 115.13698593314162)"
"(-8.547411285304957, 115.14606930884469)"
"(-8.547411178781779, 115.15515268454524)"
"(-8.547411072258603, 115.16423606024327)"
"(-8.547410965735425, 115.17331943593878)"
"(-8.547410859212249, 115.18240281163176)"
"(-8.547410752689078, 115.19148618732223)"
"(-8.547410646165906, 115.20056956301018)"
"(-8.547410539642735, 115.2096529386956)"
"(-8.547410433119566, 115.2187363143785)"
"(-8.547410326596397, 115.22781969005888)"
"(-8.547410220073232, 115.23690306573674)"
"(-8.547410113550066, 115.24598644141207)"
"(-8.547410007026903, 115.25506981708489)"
"(-8.54740990050374, 115.26415319275519)"
"(-8.54740979398058, 115.27323656842296)"
"(-8.54740968745742, 115.28231994408821)"
"(-8.547409580934263, 115.29140331975094)"
"(-8.547409474411108, 115.30048669541115)"
"(-8.547409367887955, 115.30957007106883)"
"(-8.5474092613648, 115.318653446724)"
"(-8.547409154841645, 115.32773682237664)"
"(-8.547409048318494, 115.33682019802676)"
"(-8.547408941795343, 115.34590357367436)"
"(-8.547408835272194, 115.35498694931944)"
"(-8.547408728749046, 115.364070324962)"
"(-8.5474086222259, 115.37315370060203)"
"(-8.547408515702754, 115.38223707623955)"
"(-8.547408409179612, 115.39132045187453)"
"(-8.547408302656473, 115.400403827507)"
"(-8.547408196133333, 115.40948720313696)"
"(-8.547408089610194, 115.41857057876439)"
"(-8.547407983087053, 115.4276539543893)"
"(-8.547407876563918, 115.43673733001168)"
"(-8.547407770040783, 115.44582070563155)"
"(-8.54740766351765, 115.45490408124888)"
"(-8.547407556994514, 115.4639874568637)"
"(-8.547407450471383, 115.473070832476)"
"(-8.547407343948251, 115.48215420808577)"
"(-8.547407237425123, 115.49123758369304)"
"(-8.55524276089178, 115.04161058082666)"
"(-8.555242654269591, 115.0506941419966)"
"(-8.555242547647405, 115.05977770316403)"
"(-8.555242441025221, 115.06886126432893)"
"(-8.555242334403038, 115.0779448254913)"
"(-8.555242227780857, 115.08702838665114)"
"(-8.555242121158676, 115.09611194780847)"
"(-8.555242014536496, 115.10519550896326)"
"(-8.55524190791432, 115.11427907011553)"
"(-8.555241801292146, 115.12336263126527)"
"(-8.55524169466997, 115.13244619241249)"
"(-8.555241588047796, 115.14152975355718)"
"(-8.555241481425622, 115.15061331469934)"
"(-8.555241374803453, 115.15969687583897)"
"(-8.555241268181286, 115.16878043697608)"
"(-8.555241161559119, 115.17786399811067)"
"(-8.555241054936952, 115.18694755924272)"
"(-8.555240948314786, 115.19603112037225)"
"(-8.555240841692623, 115.20511468149925)"
"(-8.55524073507046, 115.21419824262374)"
"(-8.555240628448297, 115.22328180374569)"
"(-8.555240521826136, 115.23236536486512)"
"(-8.555240415203977, 115.24144892598201)"
"(-8.555240308581823, 115.2505324870964)"
"(-8.555240201959668, 115.25961604820824)"
"(-8.555240095337512, 115.26869960931757)"
"(-8.555239988715357, 115.27778317042436)"
"(-8.555239882093204, 115.28686673152862)"
"(-8.555239775471053, 115.29595029263037)"
"(-8.555239668848902, 115.30503385372958)"
"(-8.555239562226753, 115.31411741482627)"
"(-8.555239455604607, 115.32320097592043)"
"(-8.555239348982463, 115.33228453701207)"
"(-8.555239242360317, 115.34136809810119)"
"(-8.555239135738175, 115.35045165918777)"
"(-8.555239029116033, 115.35953522027182)"
"(-8.555238922493894, 115.36861878135335)"
"(-8.555238815871753, 115.37770234243236)"
"(-8.555238709249615, 115.38678590350884)"
"(-8.555238602627478, 115.39586946458279)"
"(-8.555238496005344, 115.40495302565421)"
"(-8.555238389383211, 115.41403658672311)"
"(-8.555238282761078, 115.42312014778949)"
"(-8.555238176138946, 115.43220370885334)"
"(-8.555238069516816, 115.44128726991465)"
"(-8.555237962894687, 115.45037083097345)"
"(-8.555237856272559, 115.45945439202973)"
"(-8.555237749650434, 115.46853795308347)"
"(-8.55523764302831, 115.47762151413468)"
"(-8.555237536406185, 115.48670507518337)"
"(-8.563073061536766, 115.04615263984053)"
"(-8.563072954815581, 115.05523638662827)"
"(-8.563072848094398, 115.06432013341347)"
"(-8.563072741373219, 115.07340388019615)"
"(-8.56307263465204, 115.0824876269763)"
"(-8.56307252793086, 115.09157137375392)"
"(-8.563072421209684, 115.100655120529)"
"(-8.563072314488506, 115.10973886730154)"
"(-8.56307220776733, 115.11882261407156)"
"(-8.563072101046156, 115.12790636083905)"
"(-8.563071994324982, 115.136990107604)"
"(-8.563071887603812, 115.14607385436643)"
"(-8.563071780882643, 115.15515760112633)"
"(-8.563071674161474, 115.1642413478837)"
"(-8.563071567440307, 115.17332509463854)"
"(-8.563071460719142, 115.18240884139084)"
"(-8.563071353997978, 115.1914925881406)"
"(-8.563071247276815, 115.20057633488784)"
"(-8.563071140555653, 115.20966008163255)"
"(-8.563071033834492, 115.21874382837473)"
"(-8.563070927113333, 115.22782757511438)"
"(-8.563070820392177, 115.2369113218515)"
"(-8.56307071367102, 115.24599506858608)"
"(-8.563070606949866, 115.25507881531814)"
"(-8.56307050022871, 115.26416256204767)"
"(-8.563070393507555, 115.27324630877466)"
"(-8.563070286786404, 115.28233005549912)"
"(-8.563070180065257, 115.29141380222104)"
"(-8.56307007334411, 115.30049754894044)"
"(-8.563069966622962, 115.30958129565731)"
"(-8.563069859901816, 115.31866504237165)"
"(-8.563069753180674, 115.32774878908346)"
"(-8.56306964645953, 115.33683253579274)"
"(-8.563069539738391, 115.34591628249949)"
"(-8.563069433017251, 115.3550000292037)"
"(-8.563069326296114, 115.36408377590537)"
"(-8.56306921957498, 115.37316752260452)"
"(-8.563069112853846, 115.38225126930114)"
"(-8.563069006132713, 115.39133501599522)"
"(-8.56306889941158, 115.40041876268678)"
"(-8.563068792690446, 115.40950250937581)"
"(-8.563068685969313, 115.41858625606231)"
"(-8.563068579248183, 115.42767000274628)"
"(-8.563068472527055, 115.43675374942772)"
"(-8.563068365805927, 115.44583749610662)"
"(-8.563068259084805, 115.45492124278299)"
"(-8.563068152363682, 115.46400498945683)"
"(-8.563068045642558, 115.47308873612813)"
"(-8.563067938921437, 115.48217248279691)"
"(-8.563067832200316, 115.49125622946316)"
