latitude,longitude
-8.10439838174435,114.45108675567113
-8.10439828081566,114.46015992611572
-8.104398179886973,114.46923309655806
-8.104398078958285,114.47830626699813
-8.104397978029597,114.48737943743595
-8.10439787710091,114.4964526078715
-8.104397776172227,114.5055257783048
-8.104397675243545,114.51459894873584
-8.104397574314865,114.5236721191646
-8.104397473386186,114.5327452895911
-8.104397372457509,114.54181846001535
-8.104397271528832,114.55089163043733
-8.104397170600157,114.55996480085706
-8.104397069671485,114.56903797127453
-8.10439696874281,114.57811114168973
-8.10439686781414,114.58718431210268
-8.10439676688547,114.59625748251337
-8.104396665956799,114.6053306529218
-8.104396565028132,114.61440382332795
-8.104396464099462,114.62347699373184
-8.104396363170798,114.63255016413348
-8.104396262242133,114.64162333453285
-8.104396161313469,114.65069650492997
-8.104396060384808,114.65976967532482
-8.104395959456147,114.66884284571742
-8.10439585852749,114.67791601610776
-8.10439575759883,114.68698918649584
-8.104395656670171,114.69606235688165
-8.104395555741515,114.7051355272652
-8.104395454812861,114.71420869764648
-8.104395353884206,114.72328186802551
-8.104395252955554,114.73235503840228
-8.104395152026902,114.74142820877678
-8.104395051098253,114.75050137914903
-8.104394950169608,114.75957454951902
-8.104394849240963,114.76864771988674
-8.10439474831232,114.77772089025221
-8.104394647383675,114.7867940606154
-8.104394546455032,114.79586723097634
-8.10439444552639,114.80494040133502
-8.104394344597749,114.81401357169143
-8.10439424366911,114.82308674204559
-8.104394142740473,114.83215991239749
-8.104394041811837,114.84123308274712
-8.104393940883202,114.8503062530945
-8.104393839954568,114.85937942343962
-8.104393739025936,114.86845259378248
-8.104393638097305,114.87752576412306
-8.104393537168674,114.88659893446139
-8.104393436240045,114.89567210479746
-8.104393335311418,114.90474527513126
-8.104393234382792,114.91381844546281
-8.104393133454167,114.9228916157921
-8.104393032525545,114.93196478611912
-8.104392931596921,114.94103795644389
-8.104392830668301,114.9501111267664
-8.104392729739681,114.95918429708665
-8.10439262881106,114.96825746740463
-8.104392527882442,114.97733063772034
-8.104392426953826,114.9864038080338
-8.104392326025211,114.995476978345
-8.104392225096596,115.00455014865393
-8.104392124167985,115.01362331896061
-8.104392023239374,115.02269648926503
-8.104391922310766,115.03176965956719
-8.10439182138216,115.04084282986709
-8.104391720453552,115.04991600016471
-8.104391619524948,115.05898917046008
-8.104391518596344,115.06806234075319
-8.104391417667742,115.07713551104403
-8.104391316739138,115.08620868133262
-8.104391215810535,115.09528185161895
-8.104391114881935,115.10435502190302
-8.104391013953338,115.11342819218483
-8.10439091302474,115.12250136246438
-8.104390812096145,115.13157453274167
-8.104390711167548,115.14064770301668
-8.104390610238957,115.14972087328944
-8.104390509310365,115.15879404355994
-8.104390408381773,115.16786721382817
-8.104390307453182,115.17694038409415
-8.104390206524595,115.18601355435787
-8.10439010559601,115.19508672461933
-8.104390004667428,115.20415989487853
-8.104389903738843,115.21323306513547
-8.10438980281026,115.22230623539015
-8.104389701881678,115.23137940564256
-8.104389600953096,115.2404525758927
-8.104389500024517,115.24952574614059
-8.10438939909594,115.25859891638622
-8.104389298167364,115.26767208662959
-8.10438919723879,115.2767452568707
-8.104389096310218,115.28581842710955
-8.104388995381647,115.29489159734614
-8.104388894453077,115.30396476758047
-8.104388793524508,115.31303793781252
-8.10438869259594,115.32211110804232
