id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level,review 1,review 2,review 3,review 4,review 5
ChIJ3Xv3fjJj0S0RwrKxoFin4V8,Rumah Pak Tut Cik,-8.348667899999999,114.6724232,"MM2C+GXM Br ngoneng, Mendoyo Dauh Tukad, Kec. Mendoyo, Kabupaten Jembrana, Bali 82261, Indonesia",https://maps.google.com/?cid=6908987302458012354,OPERATIONAL,+62 878-6038-3489,hotel,"hotel, lodging",4.3,3,,,,,,
ChIJWZcmykNj0S0RKRqWOOWijyg,Rumah agus danan,-8.350037799999999,114.6720241,"JMXC+XRJ, Mendoyo Dauh Tukad, Mendoyo, Jembrana Regency, Bali 82261, Indonesia",https://maps.google.com/?cid=2922733788567312937,OPERATIONAL,,,lodging,,,,,,,,
