id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level,review 1,review 2,review 3,review 4,review 5
ChIJEf-Un3Xv0S0RvBY4XZDTxXw,WARUNG MAKAN PONDOK BAMBU,-8.1388908,115.3829896,"V96M+C5X, Jl. Raya Singaraja - Amlapura, Les, Kec. Tejakula, Kabupaten Buleleng, Bali 81173, Indonesia",https://maps.google.com/?cid=8990824848107771580,OPERATIONAL,+62 852-3760-2175,restaurant,"restaurant, food",4.9,20,,The food is realy good,"Highly recomended,",,,
ChIJk7f6zjrv0S0RoFQeBTzLmJU,CROC Coktail,-8.1388944,115.3871511,"V96P+CVR, Banjar Belimbing, Penuktukan, Kec. Tejakula, Kabupaten Buleleng, Bali 81173, Indonesia",https://maps.google.com/?cid=10779589166755632288,OPERATIONAL,,coffee_shop,"coffee_shop, cafe, store, food",5,1,,,,,,
ChIJbUcs2fPv0S0R2TIxh9c-d7o,Warung Daluman dan Tipat,-8.139204,115.38368279999999,"V96M+8CV, Jl. Raya Singaraja - Amlapura, Penuktukan, Kec. Tejakula, Kabupaten Buleleng, Bali 81173, Indonesia",https://maps.google.com/?cid=13436277108690203353,OPERATIONAL,,indonesian_restaurant,"indonesian_restaurant, restaurant, food",,,,,,,,
ChIJ2zgVWLTv0S0R_dysdlCDWE0,Warung Luh Yuda,-8.139623199999999,115.38691119999999,"V96P+5Q3, Jalan dekat lapangan, Penuktukan, Kec. Tejakula, Kabupaten Buleleng, Bali, Indonesia",https://maps.google.com/?cid=5573348920482651389,OPERATIONAL,,breakfast_restaurant,"breakfast_restaurant, restaurant, food",5,2,,,,,,
ChIJ7VUPQADv0S0RC4IVI4YEuBI,Pardi home,-8.1379962,115.38275799999998,"V96J+PW2, Penuktukan, Tejakula, Buleleng Regency, Bali, Indonesia",https://maps.google.com/?cid=1348833062558204427,OPERATIONAL,,hotel,"hotel, lodging",,,,,,,,
ChIJDdUXXcPv0S0R6TNnBRgl6ws,Markas Tenten,-8.1397345,115.3860135,"V96P+4C2, Penuktukan, Tejakula, Buleleng Regency, Bali 81173, Indonesia",https://maps.google.com/?cid=858820939044303849,OPERATIONAL,,cafe,"cafe, food",,,,,,,,
