id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level,review 1,review 2,review 3,review 4,review 5
ChIJ83t41VI70i0RQmF55LQvmH4,Rumah Padma,-8.493744,115.1567115,"G544+FG, Tegaljadi, Marga, Tabanan Regency, Bali 82181, Indonesia",https://maps.google.com/?cid=9122093499212718402,OPERATIONAL,,,lodging,5,3,,,,,,
ChIJhSvh7zM70i0Rv7ICqejr3Sw,AzkaFarm,-8.4966482,115.15850829999998,"Jalan Tegal, Boro Indah, Jadi, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",https://maps.google.com/?cid=3232999492022350527,OPERATIONAL,+62 817-4759-239,farmstay,"farmstay, lodging",3.7,9,,,,,,
ChIJLyM9cQA70i0RtydUVH9DS4Y,Warung 79,-8.4960375,115.15817190000001,"G535+H7M, Tegaljadi, Marga, Tabanan Regency, Bali, Indonesia",https://maps.google.com/?cid=9676902438490351543,OPERATIONAL,,bar,bar,,,,,,,,
