id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level,review 1,review 2,review 3,review 4,review 5
ChIJh4U59yST0S0R-kfL1_bHElI,Gatra,-8.1222174,115.2648155,"V7H7+4W8, Unnamed Road, Sembiran, Kec. Tejakula, Kabupaten Buleleng, Bali 81173, Indonesia",https://maps.google.com/?cid=5914009123687188474,OPERATIONAL,,private_guest_room,"private_guest_room, lodging",5,1,,,,,,
ChIJdf0SS5-T0S0RTVCXnr-tfmE,Grosok Extreme,-8.1176585,115.2715594,"V7JC+WJM, Sembiran, Tejakula, Buleleng Regency, Bali 81173, Indonesia",https://maps.google.com/?cid=7025243507255627853,OPERATIONAL,+62 878-6179-2799,lodging,lodging,,,,,,,,
