id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level
ChIJlfPfevQZ0i0RxepcG3N9YCk,Puri Gusti Sutrisna,-8.4663609,115.35668090000001,"Jl. Rajapati Gg. Arjuna No.1, Bebalang, Kec. Bangli, Kabupaten Bangli, Bali 80614, Indonesia",https://maps.google.com/?cid=2981520886653053637,OPERATIONAL,+62 813-3841-6177,,lodging,4.3,3,
ChIJV0nsLAAZ0i0RidE62IWaGGE,Subak Uma Palak,-8.4639882,115.35705349999999,"G9P4+CR, Kawan, Bangli, Bangli Regency, Bali, Indonesia",https://maps.google.com/?cid=6996511920769126793,OPERATIONAL,,national_park,"national_park, park",,,
ChIJKWu1QjsZ0i0Rl3JTb4ZyZUg,Warung Cung Cacang,-8.4609379,115.35783400000001,"Banjaar Bangun Lemeh, G9Q5+J4G, Kawan, Bangli, Bangli Regency, Bali, Indonesia",https://maps.google.com/?cid=5216701665097511575,OPERATIONAL,,restaurant,"restaurant, food",,,
ChIJm8I4MFIZ0i0RazKXTUARHIs,Hanastacoffe,-8.4609379,115.35783400000001,"Q8GH+FRC, Kawan, Bangli, Bangli Regency, Bali, Indonesia",https://maps.google.com/?cid=10023905838497215083,OPERATIONAL,+62 878-6407-3524,cafe,"cafe, food",,,
