id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level
ChIJRSrzYdER0i0RAth3ai7F4Eg,The Monkey Bar at Bella Vista,-8.516521599999999,115.46561559999999,"FFM8+96X, Jl. Bukit Abah, Besan, Kec. Dawan, Kabupaten Klungkung, Bali 80761, Indonesia",https://maps.google.com/?cid=5251413968659404802,OPERATIONAL,+62 813-2931-0000,restaurant,"restaurant, food",4.5,921,PRICE_LEVEL_MODERATE
ChIJweQDMZgR0i0RBVB_dQL3lYw,wendy home's,-8.5203354,115.46495779999998,"FFH7+VX8, Pikat, Dawan, Klungkung Regency, Bali 80761, Indonesia",https://maps.google.com/?cid=10130274526773071877,OPERATIONAL,+62 822-4750-7638,cottage,"cottage, lodging",,,
ChIJI_9nSKMR0i0RfPCY-Dr1k-c,Tegal Batu Mekori,-8.515132999999999,115.4646859,"FFM7+MF8, Jl. Bukit Abah, Besan, Kec. Dawan, Kabupaten Klungkung, Bali, Indonesia",https://maps.google.com/?cid=16686950677965500540,OPERATIONAL,,bar,bar,5,1,
ChIJ6xwJVgAR0i0R9U2OZEr-iT0,Pak Bimo,-8.5181726,115.4678393,"FFJ9+P4, Pikat, Dawan, Klungkung Regency, Bali, Indonesia",https://maps.google.com/?cid=4434354903591046645,OPERATIONAL,,hiking_area,"hiking_area, park",,,
