id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level
ChIJgZgxvyL70S0RiEL8QjQZIog,Pantai Subandar,-8.219377500000002,115.53620529999999,"QGJP+6FW, Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesia",https://maps.google.com/?cid=9809430650619183752,OPERATIONAL,,tourist_attraction,tourist_attraction,4.6,7,
ChIJ9_dr-a770S0RAU_-TYuDh1o,Bakso Semar,-8.2203208,115.5346526,"QGHM+VVC, Jl. Kubu, Sukadana, Kec. Kubu, Kabupaten Karangasem, Bali 80853, Indonesia",https://maps.google.com/?cid=6523327219601657601,OPERATIONAL,+62 821-4669-7171,indonesian_restaurant,"indonesian_restaurant, restaurant, food",4.8,13,
ChIJixCducz70S0R912b3A0OhTk,WARUNG NONGKI LALAPAN SI NDUT AMOE,-8.2195185,115.53338160000001,"QGJM+59R, Jl. Kubu, Sukadana, Kec. Kubu, Kabupaten Karangasem, Bali 80853, Indonesia",https://maps.google.com/?cid=4144734484762942967,OPERATIONAL,+62 818-0532-1812,indonesian_restaurant,"indonesian_restaurant, restaurant, food",5,1,
ChIJRTQ0ndn70S0R8JvbVv11Cok,Pura Dalem Cut Cut,-8.220796,115.5355096,"QGHP+M6J, Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesia",https://maps.google.com/?cid=9874834863907642352,OPERATIONAL,,museum,museum,4.4,15,
ChIJc3DFQiL70S0RUF7ekF29XWA,bali 467,-8.2210133,115.53638670000001,"QGHP+HHR, Jalan, Sukadana, Kec. Kubu, Kabupaten Karangasem, Bali 80853, Indonesia",https://maps.google.com/?cid=6943914410035273296,OPERATIONAL,,restaurant,"restaurant, food",5,1,
