id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level
ChIJKQVkmq0b0i0RjHM6WK_IwGw,Warung mujair nyat nyat,-8.446026999999999,115.4126379,"HC37+H3J, Jl. Raya Besakih, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali 80863, Indonesia",https://maps.google.com/?cid=7836484007049720716,OPERATIONAL,+62 823-4068-1348,breakfast_restaurant,"breakfast_restaurant, restaurant, food",,,
ChIJx_VDZn0b0i0RY8rKu4sQ5Fk,Koffee shop,-8.4495828,115.41101889999999,"HC26+5C6, Nongan, Rendang, Karangasem Regency, Bali, Indonesia",https://maps.google.com/?cid=6477320356402743907,OPERATIONAL,,coffee_shop,"coffee_shop, cafe, store, food",,,
ChIJDyeooYkb0i0RX_RFJfSNX1k,Alit Muja Villa,-8.449115299999999,115.4107906,"HC26+983, Jl. Raya Besakih, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali 80863, Indonesia",https://maps.google.com/?cid=6440022071899976799,OPERATIONAL,,private_guest_room,"private_guest_room, lodging",5,1,
ChIJBQQWQ0Ua0i0R-YXEk9VcRQo,Isabela Kiosk,-8.445243999999999,115.41289499999999,"HC37+W52, Jl. Raya Besakih, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali 80863, Indonesia",https://maps.google.com/?cid=740099786149234169,OPERATIONAL,,restaurant,"restaurant, food",4,6,
ChIJ7Y6BcPsb0i0RpU_eBAB288E,Ari wahyudi ODON,-8.449763299999999,115.41203949999998,"HC26+5WM, Jl. Raya Besakih, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali 80863, Indonesia",https://maps.google.com/?cid=13975643811114536869,OPERATIONAL,,hotel,"hotel, lodging",,,
ChIJubZAiEQa0i0R89H3kGkXVM8,WARUNG BU KETUT,-8.4489694,115.41125429999998,"HC26+CG6, Jl. Raya Besakih, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali 80863, Indonesia",https://maps.google.com/?cid=14939591606065943027,CLOSED_TEMPORARILY,,restaurant,"restaurant, food",,,
ChIJWwxXy5Qb0i0RS7vN2FPCGR4,Warung pak gatot,-8.4461391,115.4126402,"Jl. Raya Besakih, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali, Indonesia",https://maps.google.com/?cid=2168978360931040075,OPERATIONAL,,bar,bar,5,1,
ChIJFanfR50b0i0RI-BStn_TbCs,KUBU GERIT,-8.447107899999999,115.4160688,"HC28+RQH, Nongan, Rendang, Karangasem Regency, Bali 80863, Indonesia",https://maps.google.com/?cid=3129108386588844067,OPERATIONAL,,hotel,"hotel, lodging",,,
ChIJLfwvQ0Ua0i0R0N7doJuTbHo,Warung SARI MEKAR,-8.445216199999999,115.41286889999999,"HC37+W49, Jl. Raya Besakih, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali 80863, Indonesia",https://maps.google.com/?cid=8821588066740068048,OPERATIONAL,,restaurant,"restaurant, food",,,
ChIJ3dntQ8kb0i0Rukf26DksRFw,Warung Tu Jawa,-8.444690399999999,115.41336079999998,"HC47+48H, Jl. Raya Besakih, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali 80863, Indonesia",https://maps.google.com/?cid=6648487577138907066,OPERATIONAL,+62 831-1954-3722,restaurant,"restaurant, food",,,
ChIJ02TRWEUa0i0RW-QlhveIzzM,WARUNG BU NENGAH SADNYANI,-8.444698599999999,115.41313570000001,"Jl. Raya Besakih No.194, Nongan, Kec. Rendang, Kabupaten Karangasem, Bali 80716, Indonesia",https://maps.google.com/?cid=3733353212802360411,OPERATIONAL,,restaurant,"restaurant, food",,,
