lat,lon,index_right,featurecla,scalerank,min_zoom
-8.43778787037442,115.03706815550647,9,Land,5.0,0.5
-8.437787765236736,115.04614895353458,9,Land,5.0,0.5
-8.437787660099051,115.05522975156023,9,Land,5.0,0.5
-8.437787554961368,115.06431054958344,9,Land,5.0,0.5
-8.437787449823686,115.0733913476042,9,Land,5.0,0.5
-8.437787344686006,115.08247214562248,9,Land,5.0,0.5
-8.43778723954833,115.09155294363832,9,Land,5.0,0.5
-8.437787134410652,115.1006337416517,9,Land,5.0,0.5
-8.437787029272975,115.10971453966263,9,Land,5.0,0.5
-8.437786924135303,115.1187953376711,9,Land,5.0,0.5
-8.43778681899763,115.12787613567713,9,Land,5.0,0.5
-8.43778671385996,115.13695693368066,9,Land,5.0,0.5
-8.437786608722291,115.14603773168176,9,Land,5.0,0.5
-8.437786503584622,115.15511852968042,9,Land,5.0,0.5
-8.437786398446955,115.1641993276766,9,Land,5.0,0.5
-8.43778629330929,115.17328012567036,9,Land,5.0,0.5
-8.437786188171627,115.18236092366162,9,Land,5.0,0.5
-8.437786083033963,115.19144172165043,9,Land,5.0,0.5
-8.437785977896299,115.20052251963682,9,Land,5.0,0.5
-8.437785872758637,115.20960331762072,9,Land,5.0,0.5
-8.43778576762098,115.2186841156022,9,Land,5.0,0.5
-8.437785662483321,115.22776491358118,9,Land,5.0,0.5
-8.437785557345665,115.23684571155772,9,Land,5.0,0.5
-8.437785452208008,115.24592650953184,9,Land,5.0,0.5
-8.437785347070353,115.25500730750346,9,Land,5.0,0.5
-8.437785241932703,115.26408810547264,9,Land,5.0,0.5
-8.437785136795052,115.27316890343936,9,Land,5.0,0.5
-8.4377850316574,115.28224970140364,9,Land,5.0,0.5
-8.43778492651975,115.29133049936544,9,Land,5.0,0.5
-8.437784821382103,115.3004112973248,9,Land,5.0,0.5
-8.437784716244456,115.3094920952817,9,Land,5.0,0.5
-8.43778461110681,115.31857289323614,9,Land,5.0,0.5
-8.437784505969168,115.32765369118812,9,Land,5.0,0.5
-8.437784400831525,115.33673448913768,9,Land,5.0,0.5
-8.437784295693884,115.34581528708476,9,Land,5.0,0.5
-8.437784190556242,115.35489608502937,9,Land,5.0,0.5
-8.437784085418604,115.36397688297151,9,Land,5.0,0.5
-8.437783980280969,115.37305768091124,9,Land,5.0,0.5
-8.437783875143332,115.3821384788485,9,Land,5.0,0.5
-8.437783770005694,115.3912192767833,9,Land,5.0,0.5
-8.43778366486806,115.40030007471564,9,Land,5.0,0.5
-8.437783559730427,115.40938087264551,9,Land,5.0,0.5
-8.437783454592799,115.41846167057297,9,Land,5.0,0.5
-8.437783349455168,115.42754246849796,9,Land,5.0,0.5
-8.437783244317542,115.43662326642048,9,Land,5.0,0.5
