id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level
ChIJ35m6H0GF0S0R6p8EKZKfM8k,Mia Sintya home,-8.2298327,115.08455989999999,"Q3CM+3R7, Gobleg, Banjar, Buleleng Regency, Bali 81152, Indonesia",https://maps.google.com/?cid=14498107075537969130,OPERATIONAL,+62 887-0330-1818,hotel,"hotel, lodging",5,3,
ChIJbddqG9qF0S0RESdtA08T83w,Nyoman Garden,-8.232022599999999,115.08319089999999,"Q39M+H6, Gobleg, Banjar, Buleleng Regency, Bali, Indonesia",https://maps.google.com/?cid=9003561310124582673,OPERATIONAL,,park,park,5,1,
ChIJkVjn-iuF0S0RzuQMXRc32rQ,Rumah,-8.232391999999999,115.0857753,"Q39P+37, Gobleg, Banjar, Buleleng Regency, Bali, Indonesia",https://maps.google.com/?cid=13031789045234853070,OPERATIONAL,,hotel,"hotel, lodging",,,
ChIJvZ_OzE2F0S0R0EETJMCPdS8,Gegel home,-8.232391999999999,115.0857753,"Q39P+37, Gobleg, Banjar, Buleleng Regency, Bali, Indonesia",https://maps.google.com/?cid=3419797547459494352,OPERATIONAL,,hotel,"hotel, lodging",,,
ChIJgYtiDACF0S0RF2M2KT6mBSk,dian saraswati home,-8.229595999999999,115.08246369999999,"Q3CJ+3V7, Asah Gobleg, Gobleg, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",https://maps.google.com/?cid=2955951516348211991,OPERATIONAL,,hostel,"hostel, lodging",5,1,
ChIJdRyF7JWF0S0RGXhqKei8pOU,Diah Sintia,-8.2298469,115.08217399999998,"Q3CJ+3V7, Asah Gobleg, Gobleg, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",https://maps.google.com/?cid=16547558636179322905,OPERATIONAL,,hotel,"hotel, lodging",,,
ChIJ7dJ69M6F0S0RGmZ_GOBytic,Gede adi suwartawan,-8.229041,115.081977,"Q3CJ+9QQ Asah, Gobleg, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",https://maps.google.com/?cid=2861600920049772058,OPERATIONAL,,hotel,"hotel, lodging",5,1,
