id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level
ChIJQ_riUxjz0S0RSmhxAvtC6jI,Jeling homestay,-8.203828,115.3073931,"Bantang, Kintamani, Bangli Regency, Bali 80652, Indonesia",https://maps.google.com/?cid=3668818492291901514,OPERATIONAL,+62 821-4507-5543,private_guest_room,"private_guest_room, lodging",5,1,
ChIJMQAOLR_z0S0RC5Aahalu8BQ,Lapangan Umum Kintamani,-8.2050508,115.30980330000001,"Jalan Raya Kintamani, Q8V5+XWF, Kintamani, Bantang, Bangil, Kabupaten Bangli, Bali 80652, Indonesia",https://maps.google.com/?cid=1508827549530755083,OPERATIONAL,,park,park,4.1,14,
ChIJlSrcFlTz0S0RXCZpB4Wi-gY,Pondok Pungutan Desa Bantang,-8.2030044,115.30789299999999,"Unnamed Road, Q8W5+Q5R, Bantang, Kec. Kintamani, Kabupaten Bangli, Bali 80652, Indonesia",https://maps.google.com/?cid=502893000643913308,OPERATIONAL,,lodging,lodging,4,1,
