lat,lon,index_right_x,featurecla_x,scalerank_x,min_zoom_x,index_right_y,featurecla_y,scalerank_y,min_zoom_y
-8.848271756339026,115.12836912186044,9,Land,5.0,0.5,,,,
-8.848271646009403,115.13745974953984,9,Land,5.0,0.5,,,,
-8.848271535679778,115.14655037721654,9,Land,5.0,0.5,,,,
-8.848271425350157,115.15564100489054,9,Land,5.0,0.5,,,,
-8.848271315020536,115.16473163256182,9,Land,5.0,0.5,,,,
-8.848271204690917,115.1738222602304,9,Land,5.0,0.5,,,,
-8.8482710943613,115.18291288789628,9,Land,5.0,0.5,,,,
-8.840441691346054,115.11471877687428,9,Land,5.0,0.5,,,,
-8.840441581115572,115.12380921251176,9,Land,5.0,0.5,,,,
-8.840441470885088,115.13289964814658,9,Land,5.0,0.5,,,,
-8.840441360654605,115.14199008377868,9,Land,5.0,0.5,,,,
-8.840441250424124,115.15108051940808,9,Land,5.0,0.5,,,,
-8.840441140193645,115.16017095503476,9,Land,5.0,0.5,,,,
-8.840441029963166,115.16926139065876,9,Land,5.0,0.5,,,,
-8.840440919732693,115.17835182628004,9,Land,5.0,0.5,,,,
-8.840440809502216,115.18744226189862,9,Land,5.0,0.5,,,,
-8.840440699271742,115.19653269751451,9,Land,5.0,0.5,,,,
-8.840440589041267,115.2056231331277,9,Land,5.0,0.5,,,,
-8.832611732997005,115.10106911714576,9,Land,5.0,0.5,,,,
-8.832611622865656,115.11015936092082,9,Land,5.0,0.5,,,,
-8.832611512734307,115.11924960469318,9,Land,5.0,0.5,,,,
-8.832611402602959,115.12833984846284,9,Land,5.0,0.5,,,,
-8.832611292471613,115.1374300922298,9,Land,5.0,0.5,,,,
-8.83261118234027,115.14652033599408,9,Land,5.0,0.5,,,,
-8.832611072208927,115.15561057975565,9,Land,5.0,0.5,,,,
-8.832610962077585,115.16470082351452,9,Land,5.0,0.5,,,,
-8.832610851946246,115.17379106727068,9,Land,5.0,0.5,,,,
-8.832610741814905,115.18288131102416,9,Land,5.0,0.5,,,,
-8.832610631683568,115.19197155477494,9,Land,5.0,0.5,,,,
-8.832610521552233,115.201061798523,9,Land,5.0,0.5,,,,
-8.832610411420898,115.2101520422684,9,Land,5.0,0.5,,,,
-8.832610301289566,115.2192422860111,9,Land,5.0,0.5,,,,
-8.824781550900623,115.0965100016955,9,Land,5.0,0.5,,,,
-8.824781440868408,115.10560005377948,9,Land,5.0,0.5,,,,
-8.824781330836194,115.11469010586072,9,Land,5.0,0.5,,,,
-8.82478122080398,115.12378015793932,9,Land,5.0,0.5,,,,
-8.824781110771767,115.13287021001518,9,Land,5.0,0.5,,,,
-8.824781000739556,115.14196026208838,9,Land,5.0,0.5,,,,
-8.824780890707347,115.15105031415888,9,Land,5.0,0.5,,,,
-8.82478078067514,115.16014036622668,9,Land,5.0,0.5,,,,
-8.82478067064293,115.1692304182918,9,Land,5.0,0.5,,,,
-8.824780560610725,115.1783204703542,9,Land,5.0,0.5,,,,
-8.82478045057852,115.18741052241394,9,Land,5.0,0.5,,,,
-8.824780340546317,115.19650057447096,9,Land,5.0,0.5,,,,
-8.824780230514115,115.20559062652532,9,Land,5.0,0.5,,,,
-8.824780120481917,115.21468067857695,9,Land,5.0,0.5,,,,
-8.824780010449716,115.22377073062592,9,Land,5.0,0.5,,,,
-8.816951365520714,115.1010410472754,9,Land,5.0,0.5,,,,
-8.816951255587625,115.110130907845,9,Land,5.0,0.5,,,,
-8.81695114565454,115.11922076841192,9,Land,5.0,0.5,,,,
-8.816951035721456,115.12831062897617,9,Land,5.0,0.5,,,,
-8.81695092578837,115.1374004895377,9,Land,5.0,0.5,,,,
-8.816950815855288,115.14649035009654,9,Land,5.0,0.5,,,,
-8.816950705922205,115.1555802106527,9,Land,5.0,0.5,,,,
-8.816950595989125,115.16467007120616,9,Land,5.0,0.5,,,,
-8.816950486056049,115.17375993175696,9,Land,5.0,0.5,,,,
-8.816950376122973,115.18284979230506,9,Land,5.0,0.5,,,,
-8.8169502661899,115.19193965285048,9,Land,5.0,0.5,,,,
-8.816950156256828,115.2010295133932,9,Land,5.0,0.5,,,,
-8.816950046323756,115.21011937393324,9,Land,5.0,0.5,,,,
-8.816949936390683,115.2192092344706,9,Land,5.0,0.5,,,,
-8.816949826457613,115.22829909500526,9,Land,5.0,0.5,,,,
-8.80912095719216,115.114661487692,9,Land,5.0,0.5,,,,
-8.809120847358203,115.1237511569186,9,Land,5.0,0.5,,,,
