lat,lon,index_right,featurecla,scalerank,min_zoom
-8.605542851897694,114.44202227343924,0,Land,0.0,0.0
-8.613373132004519,114.44656493186942,0,Land,0.0,0.0
-8.6133730246473,114.45564987522611,0,Land,0.0,0.0
-8.621203408903718,114.44202255365174,0,Land,0.0,0.0
-8.621203301447473,114.45110768393428,0,Land,0.0,0.0
-8.621203193991231,114.46019281421424,0,Land,0.0,0.0
-8.629033682592489,114.44656539944845,0,Land,0.0,0.0
-8.629033575037216,114.45565071683308,0,Land,0.0,0.0
-8.629033467481944,114.46473603421516,0,Land,0.0,0.0
-8.629033359926673,114.47382135159464,0,Land,0.0,0.0
-8.629033252371404,114.48290666897158,0,Land,0.0,0.0
-8.629033144816136,114.49199198634594,0,Land,0.0,0.0
-8.629033037260868,114.50107730371772,0,Land,0.0,0.0
-8.629032929705604,114.51016262108692,0,Land,0.0,0.0
-8.636863953068028,114.44202283439306,0,Land,0.0,0.0
-8.636863845413718,114.45110833905608,0,Land,0.0,0.0
-8.636863737759409,114.46019384371655,0,Land,0.0,0.0
-8.636863630105104,114.46927934837444,0,Land,0.0,0.0
-8.636863522450799,114.47836485302976,0,Land,0.0,0.0
-8.636863414796496,114.48745035768248,0,Land,0.0,0.0
-8.636863307142193,114.49653586233264,0,Land,0.0,0.0
-8.636863199487891,114.50562136698024,0,Land,0.0,0.0
-8.636863091833591,114.51470687162524,0,Land,0.0,0.0
-8.644694220327533,114.44656586790887,0,Land,0.0,0.0
-8.644694112574184,114.45565156002664,0,Land,0.0,0.0
-8.644694004820838,114.4647372521418,0,Land,0.0,0.0
-8.644693897067492,114.47382294425438,0,Land,0.0,0.0
-8.64469378931415,114.4829086363644,0,Land,0.0,0.0
-8.644693681560808,114.4919943284718,0,Land,0.0,0.0
-8.644693573807466,114.50108002057664,0,Land,0.0,0.0
-8.644693466054127,114.5101657126789,0,Land,0.0,0.0
-8.64469335830079,114.51925140477856,0,Land,0.0,0.0
-8.644693250547453,114.52833709687567,0,Land,0.0,0.0
-8.6525244843682,114.44202311566328,0,Land,0.0,0.0
-8.652524376515814,114.45110899541204,0,Land,0.0,0.0
-8.652524268663427,114.46019487515822,0,Land,0.0,0.0
-8.652524160811042,114.46928075490182,0,Land,0.0,0.0
